,id,popularity,title,vote_average,vote_count
160,26564,5.757,Crumb,7.7,109
161,8068,8.397,Desperado,6.8,1368
162,8512,5.516,Devil in a Blue Dress,6.5,143
163,1572,15.891,Die Hard: With a Vengeance,7.1,3103
164,13552,5.924,The Doom Generation,6.1,90
166,6520,8.139,First Knight,6.0,535
167,9073,10.047,Free Willy 2: The Adventure Home,5.6,239
168,10428,6.5,Hackers,6.3,585
169,17447,3.063,Jeffrey,6.7,23
170,9886,7.623,Johnny Mnemonic,5.6,567
171,9482,9.602,Judge Dredd,5.5,1076
172,19326,4.614,Jury Duty,4.2,48
173,9344,5.44,Kids,6.9,457
174,9071,4.756,Living in Oblivion,7.3,98
175,8973,6.083,Lord of Illusions,6.0,129
176,15730,1.123,Love & Human Remains,6.5,14
178,2293,8.161,Mallrats,6.8,574
179,9070,9.466,Mighty Morphin Power Rangers: The Movie,5.3,276
183,1642,7.954,The Net,5.9,571
184,11472,5.899,Nine Months,5.6,287
186,11980,7.687,The Prophecy,6.4,196
189,10533,7.003,The Scarlet Letter,5.7,195
191,10802,7.197,Showgirls,5.1,423
192,10149,7.223,Smoke,7.3,195
193,18402,5.772,Something to Talk About,5.7,101
194,9348,11.281,Species,5.7,670
196,281,9.151,Strange Days,7.0,555
197,5967,7.096,The Umbrellas of Cherbourg,7.5,212
201,9090,8.304,"To Wong Foo, Thanks for Everything! Julie Newmar",6.8,199
202,3512,8.369,Under Siege 2: Dark Territory,5.6,345
205,9560,6.916,A Walk in the Clouds,6.6,289
206,9804,9.793,Waterworld,6.0,1716
210,26258,3.405,Bushwhacked,5.2,50
212,19155,4.069,Before the Rain,7.7,63
213,76,10.025,Before Sunrise,7.8,1655
214,11017,8.435,Billy Madison,6.1,727
216,9382,4.996,Boys on the Side,6.4,86
217,6715,4.488,The Cure,7.4,100
218,18256,4.111,Castle Freak,6.1,66
219,22625,2.628,Circle of Friends,6.7,40
220,2292,9.627,Clerks,7.4,1214
221,1909,5.487,Don Juan DeMarco,6.4,330
222,8984,7.806,Disclosure,6.0,371
224,4954,8.083,Drop Zone,5.3,151
226,10531,5.607,Death and the Maiden,7.0,150
227,11929,9.388,Dolores Claiborne,7.2,296
228,8467,14.336,Dumb and Dumber,6.5,3160
229,10451,8.897,Eat Drink Man Woman,7.6,107
230,20156,4.626,Exotica,6.9,96
231,18395,2.051,Exit to Eden,4.1,38
232,522,8.394,Ed Wood,7.5,1066
233,397,7.042,French Kiss,6.4,316
234,10525,3.955,Forget Paris,6.2,62
236,15789,9.645,A Goofy Movie,6.9,747
238,21183,4.844,Fluke,6.6,92
239,10954,2.615,Farinelli,6.3,45
243,14275,5.475,Hoop Dreams,7.9,136
244,1024,6.548,Heavenly Creatures,7.1,453
245,17207,2.751,Houseguest,5.6,27
246,13701,6.217,Immortal Beloved,7.2,134
247,14819,6.447,Heavyweights,6.0,157
249,11777,5.619,I.Q.,6.0,175
250,628,9.388,Interview with the Vampire,7.3,2626
252,18713,1.309,The Jerky Boys,4.6,12
253,6280,6.81,Junior,4.9,650
254,9061,5.109,Just Cause,6.2,195
256,6071,6.747,Kiss of Death,5.7,123
257,11,35.555,Star Wars,8.2,10843
258,9587,7.175,Little Women,7.2,440
259,19101,7.635,A Little Princess,7.6,386
261,17961,1.901,L'Enfer,6.8,42
262,18183,5.491,Like Water for Chocolate,6.6,119
263,4476,8.765,Legends of the Fall,7.4,1040
264,11008,8.102,Major Payne,6.1,281
269,11318,4.463,The Madness of King George,6.9,93
270,3036,7.904,Frankenstein,6.3,513
272,24070,3.894,Mixed Nuts,5.5,65
273,8986,6.918,Milk Money,5.7,94
274,10510,7.41,Miracle on 34th Street,6.7,414
275,17402,2.055,Miami Rhapsody,5.5,19
277,8438,7.962,Murder in the First,7.1,218
278,11593,5.279,Nobody's Fool,6.9,103
279,1945,5.168,Nell,6.4,215
285,241,8.986,Natural Born Killers,7.1,1523
286,9058,6.77,Only You,6.6,163
287,527,5.004,Once Were Warriors,7.7,167
288,18220,5.138,Poison Ivy 2: Lily,4.6,46
289,6950,7.756,Outbreak,6.4,805
290,101,18.948,Léon: The Professional,8.3,7164
292,2307,1.349,A Pyromaniac's Love Story,6.0,5
293,680,29.059,Pulp Fiction,8.4,14296
295,25296,1.491,Pushing Hands,6.3,13
297,11450,7.845,Quiz Show,7.3,396
299,10452,4.813,Queen Margot,7.2,136
300,12106,6.703,The Quick and the Dead,6.3,685
302,3586,5.299,Ready to Wear,5.2,68
303,110,9.866,Three Colors: Red,8.1,474
304,108,8.912,Three Colors: Blue,7.8,583
305,109,8.44,Three Colors: White,7.6,407
310,22586,6.05,The Swan Princess,6.6,472
311,14334,1.81,The Secret of Roan Inish,6.5,25
312,2636,6.224,The Specialist,5.6,507
313,2164,13.131,Stargate,6.9,1533
314,11395,9.798,The Santa Clause,6.3,936
315,278,27.441,The Shawshank Redemption,8.7,12361
316,9905,6.467,Shallow Grave,7.1,411
318,12527,1.628,Strawberry and Chocolate,7.3,28
319,20306,4.6,Swimming with Sharks,6.7,141
323,9067,5.663,Tank Girl,5.5,220
324,9059,5.179,Tales from the Crypt: Demon Knight,6.6,156
325,193,5.851,Star Trek: Generations,6.5,635
326,25066,3.479,Tales from the Hood,5.9,53
328,12122,6.448,Village of the Damned,5.9,298
329,11381,7.15,Tommy Boy,6.8,473
333,1587,10.613,What's Eating Gilbert Grape,7.6,1700
334,9271,5.93,Virtuosity,5.5,239
335,2064,8.287,While You Were Sleeping,6.7,657
336,19855,4.384,The War,6.5,65
338,236,5.099,Muriel's Wedding,7.0,170
340,3049,10.5,Ace Ventura: Pet Detective,6.5,2913
341,2759,6.68,"The Adventures of Priscilla, Queen of the Desert",7.3,313
342,12635,3.312,Backbeat,6.3,48
343,10497,8.264,Bitter Moon,7.0,216
344,11382,5.857,Bullets Over Broadway,7.2,216
345,9331,11.722,Clear and Present Danger,6.6,607
346,10731,8.275,The Client,6.5,484
347,10464,4.95,"Corrina, Corrina",6.5,177
349,9495,10.842,The Crow,7.4,1692
351,888,6.856,The Flintstones,5.2,1101
352,13,26.173,Forrest Gump,8.4,13851
353,712,8.429,Four Weddings and a Funeral,6.7,1182
354,16295,4.96,Higher Learning,6.6,85
356,10879,4.15,I Love Trouble,5.4,80
357,10660,6.927,It Could Happen to You,6.4,251
358,10714,6.22,The Jungle Book,5.9,211
360,8587,22.33,The Lion King,8.2,9544
361,1689,7.74,Little Buddha,6.2,162
362,11596,9.881,New Nightmare,6.4,517
363,854,24.702,The Mask,6.8,4850
364,9359,6.458,Maverick,6.7,718
365,23333,3.455,Mrs. Parker and the Vicious Circle,6.8,24
367,12280,4.591,The Paper,6.6,72
368,2788,7.356,Reality Bites,6.6,311
369,10427,5.802,Red Rock West,6.7,107
370,11011,8.136,Ri¢hie Ri¢h,5.5,924
372,8987,8.286,The River Wild,6.4,374
373,1637,13.202,Speed,6.9,2897
374,15128,3.419,Speechless,5.8,42
375,8831,5.794,Timecop,5.7,456
377,10449,7.041,When a Man Loves a Woman,6.5,126
378,10395,7.025,Wolf,6.0,390
379,12160,8.327,Wyatt Earp,6.6,325
383,26352,3.993,A Low Down Dirty Shame,5.9,46
386,315,5.075,"Faster, Pussycat! Kill! Kill!",6.8,101
387,22067,2.643,Jason's Lyric,7.1,19
388,18242,1.151,The Secret Adventures of Tom Thumb,7.1,15
389,11667,9.019,Street Fighter,4.2,587
401,8011,6.683,Highlander: The Final Dimension,4.6,188
403,2654,7.901,In the Mouth of Madness,7.3,588
404,18069,3.091,8 Seconds,7.6,38
405,19092,4.748,Above the Rim,6.9,64
406,2758,9.931,Addams Family Values,6.7,1101
408,10436,5.048,The Age of Innocence,7.0,357
409,13595,7.268,Airheads,5.8,326
411,9409,5.252,Another Stakeout,5.1,85
412,11853,5.38,Bad Girls,4.9,94
413,16771,4.007,Barcelona,6.7,32
415,11041,6.4,The Beverly Hillbillies,5.4,161
416,306,9.834,Beverly Hills Cop III,5.7,736
417,14522,7.763,Black Beauty,6.4,125
418,26203,5.404,Blink,6.3,60
419,178,8.912,Blown Away,6.1,198
420,19819,4.131,Blue Chips,6.1,64
422,4722,6.358,Body Snatchers,5.9,146
423,18215,4.025,Boxing Helena,4.7,82
424,1607,8.491,A Bronx Tale,7.6,734
425,26391,2.866,Cabin Boy,4.9,37
427,6075,7.779,Carlito's Way,7.8,1361
428,11310,6.416,City Slickers II: The Legend of Curly's Gold,5.0,147
429,18658,3.211,Clean Slate,5.8,31
430,9350,10.309,Cliffhanger,6.3,974
431,9612,6.859,Coneheads,5.0,374
432,2124,6.266,Color of Night,5.4,194
433,26261,3.675,Cops & Robbersons,5.1,51
434,19176,3.458,The Cowboy Way,5.4,59
436,11566,8.557,Dave,6.5,313
437,9571,7.812,Dazed and Confused,7.5,915
438,9739,14.084,Demolition Man,6.5,1584
439,24257,0.6,The Endless Summer 2,7.3,14
441,26141,4.375,Fatal Instinct,5.5,55
442,10997,5.761,Farewell My Concubine,8.1,180
444,10443,5.888,Fearless,6.9,122
445,20239,0.922,Fear of a Black Hat,6.2,15
446,16297,4.859,With Honors,6.5,85
447,18551,2.838,Flesh and Bone,6.2,33
448,25440,1.905,Widows' Peak,6.2,5
449,9024,6.453,For Love or Money,6.0,121
451,1634,7.178,Free Willy,6.0,780
452,13815,5.779,Fresh,7.6,75
453,5503,10.846,The Fugitive,7.3,1942
455,2087,7.244,The Getaway,5.4,131
457,18620,0.955,Go Fish,4.2,9
459,4916,2.043,Guilty as Sin,5.7,38
460,2019,8.883,Hard Target,6.1,387
462,9255,7.941,Hot Shots! Part Deux,6.3,768
463,26271,1.662,Live Nude Girls,4.8,17
464,10612,4.897,The Englishman Who Went Up a Hill But Came Down a Mountain,6.2,128
465,2259,6.994,The House of the Spirits,6.8,272
466,16097,1.717,House Party 3,5.1,14
467,11934,6.395,The Hudsucker Proxy,7.2,433
469,12475,5.149,In the Army Now,4.6,90
470,9386,10.656,In the Line of Fire,6.9,619
471,7984,7.803,In the Name of the Father,7.9,690
473,15765,4.948,What's Love Got to Do with It,7.1,115
475,6,8.677,Judgment Night,6.5,111
476,329,17.407,Jurassic Park,7.8,8402
477,10909,5.895,Kalifornia,6.6,339
478,507,6.363,Killing Zoe,6.2,157
481,9593,11.308,Last Action Hero,6.2,1167
483,22317,3.586,Lightning Jack,5.5,56
484,1413,4.324,M. Butterfly,6.9,62
485,12121,6.331,Made in America,5.4,141
486,2246,6.642,Malice,6.1,168
487,10502,5.592,The Man Without a Face,6.5,223
488,10440,5.509,Manhattan Murder Mystery,7.2,308
489,9516,8.145,Menace II Society,7.4,272
490,2320,8.067,Executive Decision,6.1,373
491,5879,12.298,In the Realm of the Senses,6.5,173
493,11971,8.245,Much Ado About Nothing,7.1,331
494,2625,4.614,Mr. Jones,5.9,65
496,788,11.565,Mrs. Doubtfire,7.1,3057
497,21450,5.873,Naked,7.6,174
498,11231,6.167,The Next Karate Kid,5.0,382
500,10447,8.142,No Escape,6.1,162
502,9300,5.323,Orlando,6.9,105
503,9559,8.219,A Perfect World,7.4,640
504,9800,8.129,Philadelphia,7.7,1904
505,713,8.243,The Piano,7.4,535
506,8291,4.359,Poetic Justice,6.6,75
507,18133,2.226,The Program,6.2,31
508,25557,5.027,The Puppet Masters,5.9,66
509,22588,2.478,Radioland Murders,6.1,19
510,10872,6.12,The Ref,6.8,146
511,1245,7.004,The Remains of the Day,7.6,438
512,11858,5.668,Renaissance Man,6.0,135
513,7007,9.216,Rising Sun,6.0,298
514,10467,4.079,The Road to Wellville,5.7,63
515,5550,11.912,RoboCop 3,4.5,483
516,8005,11.091,Robin Hood: Men in Tights,6.5,940
517,2088,5.082,Romeo Is Bleeding,6.0,58
518,10412,5.639,Romper Stomper,6.7,212
520,14534,5.292,Rudy,7.4,257
523,424,27.494,Schindler's List,8.5,7477
525,14291,6.123,Searching for Bobby Fischer,7.4,141
527,11236,8.718,The Secret Garden,7.2,392
528,11592,5.408,Serial Mom,6.6,237
529,8850,5.72,The Shadow,5.8,214
530,10445,5.455,Shadowlands,7.1,93
531,695,7.179,Short Cuts,7.2,229
533,12519,3.97,Sirens,5.7,45
534,23210,5.135,Six Degrees of Separation,6.6,122
535,858,10.286,Sleepless in Seattle,6.6,1039
536,867,7.527,Sliver,5.2,233
537,78,20.421,Blade Runner,7.9,7101
538,13203,5.053,Son in Law,5.8,124
539,10442,6.261,So I Married an Axe Murderer,6.2,175
540,11074,8.35,Striking Distance,5.7,352
542,9607,8.377,Super Mario Bros.,4.1,451
543,17585,4.38,Surviving the Game,6.2,79
544,9057,6.55,Terminal Velocity,5.3,120
545,20967,1.03,Thirty Two Short Films About Glenn Gould,7.5,12
546,10635,4.721,Threesome,6.5,92
547,9479,13.705,The Nightmare Before Christmas,7.8,4315
548,10057,7.762,The Three Musketeers,6.3,366
549,11969,9.312,Tombstone,7.5,886
551,319,9.175,True Romance,7.6,1200
552,26408,1.475,The War Room,7.2,23
553,15139,7.091,The Pagemaster,6.4,340
557,11446,5.188,Welcome to the Dollhouse,7.1,153
559,24405,5.21,Chasers,5.0,42
560,11655,5.43,Cronos,6.7,237
561,11800,1.76,Naked in New York,4.9,8
562,8223,4.826,Kika,6.8,98
563,14587,1.48,Bhaji on the Beach,5.0,14
568,23637,4.529,"Ciao, Professore!",7.2,179
569,17600,2.668,Spanking the Monkey,5.7,36
570,10897,9.275,The Little Rascals,6.4,417
572,21352,3.465,André,5.0,48
577,25403,5.996,Dear Diary,7.3,126
579,9066,5.09,The Brady Bunch Movie,6.0,125
580,771,0.648,Home Alone,7.2,4988
581,251,9.684,Ghost,7.1,2596
582,812,19.698,Aladdin,7.6,5944
583,280,22.484,Terminator 2: Judgment Day,7.9,6331
584,581,11.314,Dances with Wolves,7.8,1836
586,268,12.169,Batman,7.1,3568
587,274,3.81,The Silence of the Lambs,8.3,7908
588,408,19.418,Snow White and the Seven Dwarfs,7.0,3824
589,10020,20.017,Beauty and the Beast,7.7,5360
590,10895,11.967,Pinocchio,7.0,2750
591,114,11.251,Pretty Woman,7.3,3461
593,576,9.765,The Wild Bunch,7.7,456
594,15477,2.112,Love and a .45,6.2,20
599,7300,7.013,One Fine Day,6.3,289
600,10824,5.757,Candyman: Farewell to the Flesh,5.3,107
602,275,10.514,Fargo,7.8,3621
603,25059,5.692,Homeward Bound II: Lost in San Francisco,6.1,185
604,11827,11.787,Heavy Metal,6.2,237
605,8766,7.922,Hellraiser: Bloodline,5.0,176
606,23570,5.1,The Pallbearer,4.8,60
610,10112,14.031,The Aristocats,7.2,2497
611,4307,3.885,The Flower of My Secret,7.1,75
620,12520,6.046,The Last Supper,6.8,121
621,1592,9.948,Primal Fear,7.6,1161
624,19042,5.211,All Dogs Go to Heaven 2,5.4,92
630,9099,6.48,Sgt. Bilko,5.6,144
631,2021,2.387,Jack & Sarah,6.6,22
633,10988,4.781,Diabolique,5.5,127
634,11479,5.546,"Little Indian, Big City",6.1,288
638,12652,3.476,Nelly and Monsieur Arnaud,7.2,34
639,10684,6.713,Courage Under Fire,6.4,366
640,954,22.599,Mission: Impossible,6.9,4477
642,18989,3.176,Moll Flanders,6.0,35
643,10801,0.921,The Superwife,5.4,8
645,8840,8.306,DragonHeart,6.5,973
648,11107,4.091,Eddie,5.4,75
649,16417,1.521,Yankee Zulu,6.0,5
651,10363,5.662,Purple Noon,7.6,123
653,10539,7.856,James and the Giant Peach,6.3,599
654,10543,6.58,Fear,6.2,271
655,18414,2.44,Kids in the Hall: Brain Candy,6.1,36
657,11902,6.565,Underground,7.8,246
659,25087,3.567,Bloodsport II,5.1,36
660,5801,5.288,Pather Panchali,8.1,106
661,896,4.185,Apur Sansar,8.3,70
662,3065,4.579,Mystery Science Theater 3000: The Movie,7.0,93
664,2300,11.541,Space Jam,6.7,2559
665,8069,6.25,Barbarella,5.9,229
670,8072,4.769,Alphaville,7.0,160
682,20762,5.851,The Substitute,6.0,102
685,12656,5.461,Feeling Minnesota,5.4,55
688,25969,2.544,Angus,6.8,40
690,753,3.392,Faces,7.3,61
692,9103,6.342,The Quest,5.6,227
695,10990,7.823,Mulholland Falls,6.0,111
696,8866,5.408,The Truth About Cats & Dogs,5.8,135
697,12233,8.808,Oliver & Company,6.7,712
698,23449,2.57,Celtic Pride,5.0,54
702,922,7.614,Dead Man,7.3,656
703,11876,4.409,The Horseman on the Roof,6.4,53
706,11687,7.832,The Visitors,7.2,877
707,9304,6.079,Multiplicity,5.6,246
710,9100,6.811,The Craft,6.4,639
711,20759,5.2,The Great White Hype,5.1,45
718,9802,9.135,The Rock,7.0,2203
719,25697,1.564,Getting Away with Murder,4.3,10
720,21588,6.259,Cemetery Man,7.1,183
721,664,10.843,Twister,6.3,1508
722,11867,7.475,Barb Wire,4.0,172
725,9323,8.646,Ghost in the Shell,7.9,1344
726,10280,5.721,Thinner,5.7,212
727,10535,7.477,Spy Hard,5.0,247
729,532,7.575,A Close Shave,7.5,350
730,26744,3.531,Force of Evil,6.8,44
731,16299,2.644,The Stupids,4.2,26
732,10547,14.984,The Arrival,6.2,297
734,935,10.487,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.1,2577
744,11101,6.797,Stalingrad,7.3,185
745,9826,5.802,The Phantom,4.8,220
746,9879,7.489,Striptease,4.6,335
748,22621,1.49,Heavy,6.9,21
749,7095,5.957,Jack,6.1,566
750,26890,2.574,I Shot Andy Warhol,6.2,43
761,627,20.249,Trainspotting,7.9,4955
763,602,12.652,Independence Day,6.8,5180
764,14553,6.143,Stealing Beauty,6.7,190
765,9566,5.926,The Fan,5.9,328
766,10545,15.982,The Hunchback of Notre Dame,7.0,2374
767,9894,8.56,The Cable Guy,5.8,1006
768,11543,6.378,Kingpin,6.6,369
769,9268,8.682,Eraser,5.8,826
771,9327,9.194,The Nutty Professor,5.6,1401
780,11228,8.326,Daylight,6.0,665
781,10779,7.131,The Frighteners,6.8,652
782,26748,7.12,Lone Star,7.1,126
784,9294,6.284,Phenomenon,6.3,520
786,11363,5.637,She's the One,5.5,111
787,1645,10.693,A Time to Kill,7.2,877
791,18550,5.403,Fled,5.2,76
792,11511,5.281,Kazaam,3.8,106
798,12606,3.944,A Very Brady Sequel,5.7,69
803,4837,2.106,La Collectionneuse,7.2,43
804,12632,0.857,Kaspar Hauser,6.6,5
805,9098,1.49,Regular Guys,5.9,10
808,18975,5.951,The Adventures of Pinocchio,5.0,94
809,11962,5.249,Joe's Apartment,5.1,137
810,2925,10.098,The First Wives Club,6.6,315
812,3595,7.958,Ransom,6.6,788
813,9308,4.138,High School High,5.3,71
815,18555,3.05,Foxfire,6.2,55
816,12123,7.742,Chain Reaction,5.5,428
817,10830,11.783,Matilda,7.0,1933
818,3573,8.199,Emma,6.8,284
819,10546,7.178,The Crow: City of Angels,5.1,187
820,18862,4.146,House Arrest,4.8,52
822,9431,6.078,Bordello of Blood,5.1,106
829,10061,8.558,Escape from L.A.,5.8,628
831,549,4.974,Basquiat,6.8,142
832,10478,5.756,Tin Cup,6.0,236
838,238,27.514,The Godfather,8.6,9467
840,159,2.894,Maybe... Maybe Not,6.2,49
841,11134,8.531,Supercop,6.6,174
845,9303,6.99,Bound,7.0,322
846,23945,3.62,Carpool,4.8,33
848,22479,1.327,Kansas City,6.3,20
849,9054,2.986,Gone Fishin',4.8,62
851,11985,5.331,Vive L'Amour,7.1,29
852,10232,0.6,Shadow of Angels,4.0,2
858,11015,5.451,The Relic,5.9,188
859,9306,5.507,The Island of Dr. Moreau,4.6,224
860,12559,3.489,First Kid,5.0,55
863,3587,4.049,Bogus,5.7,99
864,10723,6.435,Bulletproof,5.4,236
866,19004,7.029,The Land Before Time III: The Time of the Great Giving,6.1,179
869,10987,10.302,Halloween: The Curse of Michael Myers,4.9,353
871,20318,2.025,Mother Night,7.0,22
876,981,7.215,The Philadelphia Story,7.8,334
877,872,8.813,Singin' in the Rain,8.1,1312
878,2769,6.336,An American in Paris,7.0,224
879,13320,5.646,Funny Face,7.1,280
880,164,8.627,Breakfast at Tiffany's,7.7,2021
881,426,13.986,Vertigo,8.2,2294
882,567,13.107,Rear Window,8.3,2708
883,3078,6.849,It Happened One Night,7.8,458
884,13528,6.809,Gaslight,7.4,127
886,213,11.373,North by Northwest,7.9,1752
887,284,8.281,The Apartment,8.2,841
888,239,9.891,Some Like It Hot,8.2,1457
889,4808,6.089,Charade,7.8,521
890,289,9.492,Casablanca,8.1,2379
891,963,7.273,The Maltese Falcon,7.8,698
892,11113,8.096,My Fair Lady,7.7,577
893,6620,8.298,Sabrina,7.5,523
894,804,8.501,Roman Holiday,7.9,861
895,26531,2.478,The Little Princess,6.9,43
896,909,5.782,Meet Me in St. Louis,7.0,130
897,630,13.186,The Wizard of Oz,7.5,2806
898,770,12.874,Gone with the Wind,7.9,1657
900,599,14.248,Sunset Boulevard,8.4,961
901,15,10.606,Citizen Kane,8.1,2234
902,62,21.508,2001: A Space Odyssey,8.0,5465
904,705,13.436,All About Eve,8.2,638
905,22490,2.685,The Women,7.1,42
906,223,9.059,Rebecca,7.9,599
907,25670,5.811,Foreign Correspondent,7.2,125
908,303,8.4,Notorious,7.9,614
909,4174,6.503,Spellbound,7.5,306
910,8356,4.794,An Affair to Remember,7.4,171
911,381,6.842,To Catch a Thief,7.3,538
912,20758,4.246,Father of the Bride,7.0,69
914,1859,5.31,Ninotchka,7.7,132
915,18299,5.349,Love in the Afternoon,7.2,97
916,17281,5.611,Gigi,6.4,113
918,10907,7.497,The Adventures of Robin Hood,7.6,275
920,1939,7.223,Laura,7.7,286
921,22292,5.145,The Ghost and Mrs. Muir,7.6,95
922,3598,4.379,Lost Horizon,7.1,69
923,3080,6.171,Top Hat,7.7,115
924,198,5.115,To Be or Not to Be,7.8,214
925,13562,5.338,My Man Godfrey,7.8,114
926,1712,5.565,Giant,7.6,289
927,220,7.777,East of Eden,7.7,274
928,3529,5.315,The Thin Man,7.7,156
929,3085,6.706,His Girl Friday,7.5,295
930,2897,8.189,Around the World in Eighty Days,6.5,171
931,1585,15.159,It's a Wonderful Life,8.2,1902
932,3083,8.435,Mr. Smith Goes to Washington,8.0,423
933,900,5.827,Bringing Up Baby,7.6,341
938,22688,1.415,Angel on My Shoulder,6.1,10
939,23114,1.916,Little Lord Fauntleroy,6.4,14
940,26378,1.731,They Made Me a Criminal,6.1,11
942,22356,2.779,Angel and the Badman,6.4,36
943,260,6.041,The 39 Steps,7.4,361
945,22613,1.692,The Outlaw,5.4,24
946,10331,8.762,Night of the Living Dead,7.7,976
947,488,6.754,The African Queen,7.4,372
948,22733,4.785,Beat the Devil,6.5,42
949,261,7.023,Cat on a Hot Tin Roof,7.8,294
952,22657,1.4,Algiers,6.6,10
954,22649,3.495,A Farewell to Arms,6.5,45
963,11076,6.342,Fly Away Home,6.6,190
966,890,1.925,Brother of Sleep,6.8,12
967,10861,6.943,Maximum Risk,5.4,175
968,1770,8.048,Michael Collins,6.9,184
970,2033,1.463,Infinity,7.0,1
